"datetime,symbol,strategy,signal,score,pattern,trend,is_vol,is_extreme,status,code,response"
2025-06-09 13:10:05.953783,USD_JPY,RANGE-SCALP-MID-LITE,BUY,0,DOJI,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"624" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"624" "requestID":"97409881279957819" "time":"2025-06-09T17:10:05.895052468Z" "type":"LIMIT_ORDER" "instrument":"USD_JPY" "units":"50000" "price":"144.440" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"144.447" "timeInForce":"GTC"} "stopLossOnFill":{"price":"144.434" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["624"] "lastTransactionID":"624"}
2025-06-09 13:10:06.214624,USD_JPY,RANGE-SCALP-MID-LITE,SELL,0,DOJI,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"625" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"625" "requestID":"79395482773989445" "time":"2025-06-09T17:10:06.157604801Z" "type":"LIMIT_ORDER" "instrument":"USD_JPY" "units":"50000" "price":"144.440" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"144.433" "timeInForce":"GTC"} "stopLossOnFill":{"price":"144.446" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["625"] "lastTransactionID":"625"}
2025-06-09 13:30:01.583080,EUR_USD,RANGE-SCALP-MID-LITE,BUY,0,DOJI,NEUTRAL,False,False,IGNORED,0,점수 부족(0/1)
2025-06-09 13:30:02.058955,EUR_USD,NY-BREAK-RUN-LITE,SELL,1,DOJI,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 13:30:03.536156,EUR_USD,NY-BREAK-RUN-LITE,BUY,1,DOJI,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 13:30:03.704821,EUR_USD,RANGE-SCALP-MID-LITE,SELL,0,DOJI,NEUTRAL,False,False,IGNORED,0,점수 부족(0/1)
2025-06-09 13:30:16.943188,USD_JPY,CANDLE-ENGULF-TRAP-LITE,SELL,1,HAMMER,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 13:30:17.144611,USD_JPY,CANDLE-ENGULF-TRAP-LITE,BUY,1,HAMMER,NEUTRAL,False,False,IGNORED,0,점수 부족(1/2)
2025-06-09 13:30:17.418739,USD_JPY,BREAKOUT-MOMENTUM-LITE,SELL,1,HAMMER,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"628" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"628" "requestID":"115424284872965527" "time":"2025-06-09T17:30:17.352215441Z" "type":"LIMIT_ORDER"
2025-06-09 13:30:18.307722,USD_JPY,BREAKOUT-MOMENTUM-LITE,BUY,1,HAMMER,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"630" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"630" "requestID":"115424284877160559" "time":"2025-06-09T17:30:18.246852271Z" "type":"LIMIT_ORDER"
