time,open,high,low,close,volume
2025-06-11T22:00:00.000000000Z,1.35494,1.35558,1.35464,1.35545,1039
2025-06-11T22:30:00.000000000Z,1.35548,1.35689,1.35537,1.35662,1332
2025-06-11T23:00:00.000000000Z,1.35664,1.3573,1.35633,1.35634,2016
2025-06-11T23:30:00.000000000Z,1.35634,1.357,1.35628,1.35677,2466
2025-06-12T00:00:00.000000000Z,1.35676,1.35745,1.35624,1.35742,4452
2025-06-12T00:30:00.000000000Z,1.35742,1.35887,1.35686,1.35832,5673
2025-06-12T01:00:00.000000000Z,1.35832,1.35934,1.3579,1.35913,5589
2025-06-12T01:30:00.000000000Z,1.35912,1.35934,1.35804,1.35832,5021
2025-06-12T02:00:00.000000000Z,1.3583,1.35836,1.3569,1.35774,3989
2025-06-12T02:30:00.000000000Z,1.35774,1.35793,1.3567,1.35734,3090
2025-06-12T03:00:00.000000000Z,1.35734,1.35824,1.35726,1.35796,2939
2025-06-12T03:30:00.000000000Z,1.35796,1.35857,1.35789,1.35836,3273
2025-06-12T04:00:00.000000000Z,1.35836,1.35844,1.35772,1.35824,2246
2025-06-12T04:30:00.000000000Z,1.35825,1.35863,1.35801,1.35826,2475
2025-06-12T05:00:00.000000000Z,1.35823,1.359,1.35779,1.35894,2706
2025-06-12T05:30:00.000000000Z,1.35894,1.35901,1.35852,1.35894,3167
2025-06-12T06:00:00.000000000Z,1.35894,1.35894,1.35564,1.35634,7048
2025-06-12T06:30:00.000000000Z,1.35634,1.35684,1.35574,1.35646,5917
2025-06-12T07:00:00.000000000Z,1.35646,1.35646,1.35408,1.35452,7472
2025-06-12T07:30:00.000000000Z,1.35453,1.3549,1.35229,1.3543,6982
2025-06-12T08:00:00.000000000Z,1.35431,1.35512,1.3538,1.35466,7494
2025-06-12T08:30:00.000000000Z,1.35466,1.35676,1.35428,1.35664,7008
2025-06-12T09:00:00.000000000Z,1.35662,1.3576,1.356,1.35704,5856
2025-06-12T09:30:00.000000000Z,1.35704,1.3587,1.35675,1.35776,5750
2025-06-12T10:00:00.000000000Z,1.35776,1.35846,1.35712,1.35822,7201
2025-06-12T10:30:00.000000000Z,1.35822,1.35982,1.3572,1.35896,8454
2025-06-12T11:00:00.000000000Z,1.35895,1.35994,1.3585,1.3585,6010
2025-06-12T11:30:00.000000000Z,1.35851,1.3593,1.35792,1.35924,5879
2025-06-12T12:00:00.000000000Z,1.35924,1.35937,1.35799,1.35915,6520
2025-06-12T12:30:00.000000000Z,1.35916,1.36196,1.35916,1.36106,12375
2025-06-12T13:00:00.000000000Z,1.36106,1.36237,1.35942,1.35996,8709
2025-06-12T13:30:00.000000000Z,1.35996,1.36108,1.3588,1.3596,9203
2025-06-12T14:00:00.000000000Z,1.3596,1.36074,1.35936,1.35992,8415
2025-06-12T14:30:00.000000000Z,1.35992,1.36074,1.35939,1.35943,6517
2025-06-12T15:00:00.000000000Z,1.35942,1.35966,1.35823,1.3586,7296
2025-06-12T15:30:00.000000000Z,1.3586,1.35913,1.35828,1.35863,5509
2025-06-12T16:00:00.000000000Z,1.35866,1.3592,1.35822,1.35863,4682
2025-06-12T16:30:00.000000000Z,1.35862,1.35922,1.35832,1.35918,4516
2025-06-12T17:00:00.000000000Z,1.35914,1.35962,1.3584,1.35895,4024
2025-06-12T17:30:00.000000000Z,1.35894,1.35946,1.35884,1.3591,2728
2025-06-12T18:00:00.000000000Z,1.35908,1.35958,1.35864,1.35944,2660
2025-06-12T18:30:00.000000000Z,1.35945,1.35972,1.35896,1.35964,2096
